complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Tarmac surface melting at 44°C,NEEDS_REVIEW
AM-202402,Heat Hazard,Standard,Metal bus shelter reaching dangerous temperatures,
AM-202405,Other,Standard,Dead trees with split branches,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Irrigation system broken,
AM-202407,Other,Urgent,Broken bench and upturned paving,NEEDS_REVIEW
AM-202410,Pothole,Standard,Pothole on main highway causing morning rush lane closure,
AM-202414,Other,Standard,Residential colony unlit after 9pm,NEEDS_REVIEW
AM-202417,Waste,Standard,Night market waste not cleared before morning,
AM-202421,Noise,Standard,Club music audible at residential buildings at 2am,
AM-202424,Road Damage,Standard,Zoo approach road surface bubbling at 45°C,
AM-202429,Heat Hazard,Standard,River walk surface temperature unbearable,
AM-202431,Heritage Damage,Standard,Old city road subsidence near ancient step well,
AM-202435,Road Damage,Standard,Black metal road dividers storing heat,
AM-202444,Waste,Standard,Restaurant waste bins overflowing on Sunday night,
AM-202445,Other,Standard,BRT shelter roof glass broken,NEEDS_REVIEW
